"term_id1";"term_id2";"tipus";"megjegyzes"
"18863";"50665";"Együtt felhasználásra ajánlott";"Élzárás amelyet, rendelésre elkészítünk!"
"18864";"50665";"Együtt felhasználásra ajánlott";"Élzárás amelyet, rendelésre elkészítünk!"
"18865";"50665";"Együtt felhasználásra ajánlott";"Élzárás amelyet, rendelésre elkészítünk!"
"18866";"50665";"Együtt felhasználásra ajánlott";"Élzárás amelyet, rendelésre elkészítünk!"
"18867";"50665";"Együtt felhasználásra ajánlott";"Élzárás amelyet, rendelésre elkészítünk!"
"18939";"60617";"Együtt felhasználásra ajánlott";"Csavar fej növeléséhez ajánlott,nagyobb felületû rögzítéshez."
"18965";"60867";"Együtt felhasználásra ajánlott";"A földbe kerülõ faanyagok védelmére!"
"18980";"59162";"Együtt felhasználásra ajánlott";"A mûanyag tiplihez ajánlott csavarok!"
"18980";"58987";"Együtt felhasználásra ajánlott";"A mûanyag tiplihez ajánlott csavarok!"
"18996";"59020";"Együtt felhasználásra ajánlott";"A mûanyag tiplihez ajánlott csavarok!"
"19038";"60867";"Együtt felhasználásra ajánlott";"A földbe kerülõ faanyagok védelmére!"
"19042";"60867";"Együtt felhasználásra ajánlott";"A földbe kerülõ faanyagok védelmére!"
"19636";"21279";"Együtt felhasználásra ajánlott";"A szegélylécek különbözõ felületekhez történõ gyors és erõs rögzítéséhez!"
"19726";"58213";"Együtt felhasználásra ajánlott";"A szegélylécek különbözõ felületekhez történõ gyors és erõs rögzítéséhez!"
"19729";"58213";"Együtt felhasználásra ajánlott";"A szegélyléc különbözõ felületekhez történõ gyors és erõs rögzítéséhez!"
"19729";"21279";"Együtt felhasználásra ajánlott";"A szegélyléc különbözõ felületekhez történõ gyors és erõs rögzítéséhez!"
"20003";"57371";"Együtt felhasználásra ajánlott";"Kerítés oszlop a szerelt kerítéselemekhez!"
"20003";"60685";"Együtt felhasználásra ajánlott";"Kerítés oszlop a szerelt kerítéselemekhez!"
"20021";"58213";"Együtt felhasználásra ajánlott";"A küszöb padlóra ragasztására!
"
"20021";"22594";"Együtt felhasználásra ajánlott";"A küszöbre szerelve esztétikus és kopásvédõ szerepe van!"
"20021";"54479";"Együtt felhasználásra ajánlott";"A küszöbre szerelve esztétikus és kopásvédõ szerepe van!"
"20021";"22592";"Együtt felhasználásra ajánlott";"A küszöbre szerelve esztétikus és kopásvédõ szerepe van!"
"20025";"59554";"Együtt felhasználásra ajánlott";"ragasztó köldökcsap fatipli beragsztáshoz"
"20030";"59554";"Együtt felhasználásra ajánlott";"ragasztó köldökcsap fatipli beragsztáshoz"
"20038";"54477";"Együtt felhasználásra ajánlott";"A küszöbre szerelve esztétikus és kopásvédõ szerepe van!"
"20038";"22593";"Együtt felhasználásra ajánlott";"A küszöbre szerelve esztétikus és kopásvédõ szerepe van!"
"20038";"22591";"Együtt felhasználásra ajánlott";"A küszöbre szerelve esztétikus és kopásvédõ szerepe van!"
"20038";"58213";"Együtt felhasználásra ajánlott";"A küszöb padlóra ragasztására!
"
"20039";"58213";"Együtt felhasználásra ajánlott";"A küszöb padlóra ragasztására!
"
"20039";"22595";"Együtt felhasználásra ajánlott";"A küszöbre szerelve esztétikus és kopásvédõ szerepe van!"
